Company; Symbol; Valor Number; Country; Traded Currency; Trading platform; Index-member; Class of Share; Nominal Value; Industry Sector; Listing Segment; Accounting Rules; Next General Meeting; Primary listing
BB Biotech AG; BION;3838999; CH; CHF; XSWX; SLIFE,SBIOM; RS;0.2; Pharmaceuticals & Biotechnology; Investment Companies; IFRS; 13.03.18; true
BELIMO Holding AG; BEAN;150319; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;1; Construction & Materials; International Reporting Standard; IFRS; 09.04.18; true
Bell Food Group AG; BELL;31596632; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.5; Food Producers; Swiss Reporting Standard; Swiss GAAP FER; 10.04.18; true
Bellevue Group AG; BBN;2842210; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.1; General Financial; International Reporting Standard; IFRS; ; true
Bergbahnen Engelberg-Trübsee-Titlis AG; TIBN;21470635; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.2; Travel & Leisure; Swiss Reporting Standard; Swiss GAAP FER; 23.03.18; true
Berner Kantonalbank AG; BEKN;969160; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;20; Banks; Swiss Reporting Standard; Bank law; 22.05.18; true
BFW Liegenschaften AG; BLIN;1820611; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;7.5; Real Estate; Real Estate Companies; IFRS; ; true
BKW AG; BKW;13029366; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;2.5; Electricity; International Reporting Standard; IFRS; 18.05.18; true
Bobst Group SA; BOBNN;1268465; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; 28.03.18; true
Bossard Holding AG; BOSN;23862714; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;5; Construction & Materials; Swiss Reporting Standard; Swiss GAAP FER; 09.04.18; true
Bucher Industries AG; BUCN;243217; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.2; Industrial Engineering; International Reporting Standard; IFRS; 18.04.18; true
Burckhardt Compression Holding AG; BCHN;2553602; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;2.5; Industrial Engineering; Swiss Reporting Standard; IFRS; 06.07.18; true
Burkhalter Holding AG; BRKN;21225580; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.04; Construction & Materials; Swiss Reporting Standard; Swiss GAAP FER; 22.05.18; true
BVZ Holding AG; BVZN;820735; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;100; Industrial Transportation; Swiss Reporting Standard; Swiss GAAP FER; 12.04.18; true
Calida Holding AG; CALN;12663946; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.1; Personal Goods; International Reporting Standard; IFRS; 18.05.18; true
Carlo Gavazzi Holding AG; GAV;1100359; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;15; Electronic & Electrical Equipment; International Reporting Standard; IFRS; 31.07.18; true
Cassiopea S.p.A.; SKIN;28252872; IT; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE; RS;1; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; ; true
Castle Alternative Invest AG; CASN;509275; CH; CHF; XSWX; ; RS;5; Equity Investment Instruments; Investment Companies; IFRS; 15.05.18; true
Castle Private Equity AG; CPEN;4885474; CH; CHF; XSWX; ; RS;0.05; Equity Investment Instruments; Investment Companies; IFRS; 14.05.18; true
Caterpillar Inc.; CAT;916546; US; CHF; XSWX; ; RS;1; ; International Reporting Standard; ; ; false
Cembra Money Bank AG; CMBN;22517316; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;1; Banks; International Reporting Standard; US GAAP; 18.04.18; true
Cham Paper Group Holding AG; CPGN;193185; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;65; Forestry & Paper; Swiss Reporting Standard; Swiss GAAP FER; 02.05.18; true
Chocoladefabriken Lindt & Sprüngli AG; LISN;1057075; CH; CHF; XSWX; ; RS;100; Food Producers; International Reporting Standard; IFRS; 03.05.18; true
Chocoladefabriken Lindt & Sprüngli AG; LISP;1057076; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; PC;10; Food Producers; International Reporting Standard; IFRS; 03.05.18; true
CI Com SA; CIE;162581; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;20; General Financial; Swiss Reporting Standard; Swiss GAAP FER; ; true
Cicor Technologies Ltd.; CICN;870219; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Electronic & Electrical Equipment; Swiss Reporting Standard; Swiss GAAP FER; 19.04.18; true
Clariant AG; CLN;1214263; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI; RS;3.7; Chemicals; International Reporting Standard; IFRS; 19.03.18; true
COLTENE Holding AG; CLTN;2534325; CH; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE,SBIOM; RS;0.1; Health Care Equipment & Services; International Reporting Standard; IFRS; 28.03.18; true
Comet Holding AG; COTN;36082699; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;1; Electronic & Electrical Equipment; International Reporting Standard; IFRS; ; true
Commerzbank AG; COM;21170377; DE; CHF; XSWX; ; BS;0; ; International Reporting Standard; ; ; false
Compagnie de Saint-Gobain; GOB;490580; FR; CHF; XSWX; ; BS;4; ; International Reporting Standard; ; ; false
Compagnie Financière Richemont SA; CFR;21048333; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;1; Personal Goods; International Reporting Standard; IFRS; ; true
Compagnie financière Tradition S.A.; CFT;1434511; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;2.5; General Financial; International Reporting Standard; IFRS; ; true
Conzzeta AG; CON;24401750; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;2; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; 24.04.18; true
